;BNP Realveakst i forhold til foregaende periode(pct).;Betalingsbalance i mia.kr(sesonkorrigeret);Bruttoledige Sesonkorrigeret i pct. af arbejdsstyrken + FRED Unemployment rate i DK ;AKU beskeftigelse i 1000 personer  ;Aktieindex  (OMXC ultimo december 1995 = 100);Sammensat konjunkturindikator, i alt, brudkorrigeret;Forbrugertillidsindikatoren;Prisindex for ejendomssalg;Inflation;Imdustrial produktion Index ;Offentlig forbrug ;Privat forbrug ;Sesonkorrigeret detailomsetningverdiindeks;Long-Term Government Bond Yields: 10-year;Diskkontoen;Import;Export;TOT Erhverv i alt;2 Industri, rastofindvinding og forsyningsvirksomhed;3 Bygge og anleg;4 Handel og transport mv.;5 Information og kommunikation;6 Finansiering og forsikring;7 Ejendomshandel og udlejning;8 Erhvervsservice;O3 Undervisning og sundhed mv.;10 Kultur, fritid og anden service
08.2018;0,5;10;3,8;2844;868;5;7,8;0,7;-0,5;0,8;0,5;-0,2;102,8;0,330000;-0,3000;53219;56103,1;0;0;0;0;0;0;0;0;0;0
09.2018;0,5;16,4;3,8;2850;837;-1;6,9;-0,3;-0,2;0,1;0,5;-0,2;103,5;0,370000;-0,3000;51377,3;58007,2;2,2;2,4;2,5;2,1;2,1;2,5;2,6;2,1;1,9;1,2
10.2018;0,9;16,4;3,8;2850;771;-2;5,1;0,4;0,3;0,2;0,5;0,5;102,4;0,420000;-0,3100;53961,6;59723,2;0;0;0;0;0;0;0;0;0;0
11.2018;0,9;15,3;3,7;2845;780;-1;4,3;-1,9;-0,3;0,5;0,5;0,5;103,9;0,340000;-0,3000;52994,2;59820,3;0;0;0;0;0;0;0;0;0;0
12.2018;0,9;17,2;3,7;2851;752;-7;2,9;0,7;-0,4;0,0;0,5;0,5;102,7;0,230000;-0,2900;52230,8;58111,8;2,2;2,4;2,4;1,9;2,5;2,5;2,2;2,1;2,3;1,4
01.2019;0;11,4;3,7;2851;783;-5;3,9;0,1;0,2;-0,4;0,0;1,2;102,6;0,150000;-0,3000;54787,1;61671,5;0;0;0;0;0;0;0;0;0;0
02.2019;0;12,5;3,7;2852;824;-6;3,3;2,2;0,5;-0,5;0,0;1,2;103,2;0,050000;-0,3200;53712;59565,1;0;0;0;0;0;0;0;0;0;0
03.2019;0;8;3,7;2855;843;-4;3,8;-0,5;0,1;0,1;0,0;1,2;104,3;0,160000;-0,3200;53095,4;56739,4;2;2,2;2,2;1,6;2,5;2,2;2,2;1,9;2;1
04.2019;1,2;17,6;3,6;2865;854;-3;3,7;1,5;0,3;-0,6;0,8;0,6;103,4;0,080000;-0,3700;53055,5;60392,3;0;0;0;0;0;0;0;0;0;0
05.2019;1,2;16,7;3,6;2875;824;-2;5,9;0,5;0;0,2;0,8;0,6;103,3;0,040000;-0,3400;54364,3;62348,8;0;0;0;0;0;0;0;0;0;0
06.2019;1,2;14,8;3,7;2882;846;-6;5,8;-0,1;-0,3;0,0;0,8;0,6;103,4;-0,220000;-0,3600;54694;61292,8;2;2,2;1,5;1,5;2,5;2,5;2,7;1,8;2,7;2,3
07.2019;0,5;17,6;3,7;2886;845;-7;2,9;0,6;0,7;-0,2;0,5;0,6;103,8;-0,310000;-0,3900;54323;61652;0;0;0;0;0;0;0;0;0;0
08.2019;0,5;16,8;3,7;2892;858;-6;6,3;-0,4;-0,4;0,7;0,5;0,6;104;-0,580000;-0,4300;55371,7;63531,1;0;0;0;0;0;0;0;0;0;0
09.2019;0,5;14;3,7;2894;864;-8;4,3;0,4;-0,3;-0,3;0,5;0,6;103,7;-0,590000;-0,4500;54512;60857,4;2,1;2,7;1,8;1,6;2,4;2,1;2,3;2;2;2,1
10.2019;0,6;21,2;3,7;2895;867;-12;1,7;-0,7;0,5;-0,4;1,9;2,0;103,9;-0,430000;-0,4300;55205,8;62510,8;0;0;0;0;0;0;0;0;0;0
11.2019;0,6;12,3;3,7;2894;917;-7;1,4;0;-0,3;0,9;1,9;2,0;104,4;-0,310000;-0,4100;53321,6;63249,1;0;0;0;0;0;0;0;0;0;0
12.2019;0,6;14,8;3,7;2887;946;-7;2,5;-0,8;-0,2;-0,4;1,9;2,0;103,5;-0,260000;-0,4000;53221,5;61172,9;2;2,8;1,5;1,8;1,9;1,5;2,2;1,9;1,9;1,8
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
