;BNP Realveakst i forhold til foregaende periode(pct).;Betalingsbalance i mia.kr(sesonkorrigeret);Bruttoledige Sesonkorrigeret i pct. af arbejdsstyrken + FRED Unemployment rate i DK ;AKU beskeftigelse i 1000 personer  ;Aktieindex  (OMXC ultimo december 1995 = 100);Sammensat konjunkturindikator, i alt, brudkorrigeret;Forbrugertillidsindikatoren;Prisindex for ejendomssalg;Inflation;Imdustrial produktion Index ;Offentlig forbrug ;Privat forbrug ;Sesonkorrigeret detailomsetningverdiindeks;Long-Term Government Bond Yields: 10-year;Diskkontoen;Import;Export;TOT Erhverv i alt;2 Industri, rastofindvinding og forsyningsvirksomhed;3 Bygge og anleg;4 Handel og transport mv.;5 Information og kommunikation;6 Finansiering og forsikring;7 Ejendomshandel og udlejning;8 Erhvervsservice;O3 Undervisning og sundhed mv.;10 Kultur, fritid og anden service
02.2012;-0,1;9;6;2644;377;1;-4,8;0,1;0,9;0,2;1,7;1,3;100;1,843800;1,0007;43529,7;50784,9;0;0;0;0;0;0;0;0;0;0
03.2012;-0,1;5,2;6,1;2633;370;-7;-0,4;-0,7;0,6;-0,5;1,7;1,3;102,3;1,886800;0,9878;42845,1;48560,5;1,8;2,1;1,7;1,8;2,3;1,8;0,3;2,2;1,1;-0,5
04.2012;0,1;10,9;6,2;2639;379;-5;0,6;1,7;0;0,8;0,7;0,8;100;1,714100;0,9652;44127,9;51643,2;0;0;0;0;0;0;0;0;0;0
05.2012;0,1;11,6;6,2;2647;357;-9;-0,4;-0,8;0;0,2;0,7;0,8;100,5;1,368900;0,9009;45524,5;52354,2;0;0;0;0;0;0;0;0;0;0
06.2012;0,1;12,8;6,2;2655;366;-9;-2,6;0,4;-0,1;0,0;0,7;0,8;100,2;1,255000;0,6214;43964,1;51832;1,5;2;1,3;1,3;1,6;0,8;1;2,3;0,9;0,4
07.2012;0,1;12,2;6,1;2646;393;-4;0,1;0,5;-0,1;0,3;1,1;0,1;99,5;1,100500;0,4068;43256;52002,1;0;0;0;0;0;0;0;0;0;0
08.2012;0,1;10,8;6,1;2640;397;-8;0;0,1;0,4;-0,5;1,1;0,1;99,6;1,148700;0,3124;45174,4;52593,1;0;0;0;0;0;0;0;0;0;0
09.2012;0,1;8,5;6,1;2641;402;-9;-2,2;-1,1;0,3;0,0;1,1;0,1;100,8;1,309500;0,3217;43768,9;49350,8;1,4;1,6;1,4;1,4;1,4;2,1;0,3;1,3;0,7;0,6
10.2012;-0,2;10,5;6;2651;395;-15;-5,5;0,9;-0,1;0,2;1,3;0,4;99,9;1,292200;0,3345;44724,9;52037,2;0;0;0;0;0;0;0;0;0;0
11.2012;-0,2;10,9;6;2658;400;-8;-1,3;0,1;-0,1;0,5;1,3;0,4;99,6;1,112700;0,3009;43899,1;52369,8;0;0;0;0;0;0;0;0;0;0
