;BNP Realveakst i forhold til foregaende periode(pct).;Balance1;Balance2;Balance3;Bruttoledig1;Bruttoledig2;Bruttoledig3;AKU1;AKU2;AKU3;Aktieindex1;Aktieindex2;Aktieindex3;konjunkturindikator1;konjunkturindikator2;konjunkturindikator3;Forbrugertillidsindikatoren1;Forbrugertillidsindikatoren2;Forbrugertillidsindikatoren3;huspriser1;huspriser2;huspriser3;inflation1;inflation2;inflation3;produktion1;produktion2;produktion3;Govermentbond1;Govermentbond2;Govermentbond3;Rente1;Rente2;Rente3;Import1;Import2;Import3;Eksport1;Eksport2;Eksport3;Detail1;Detail2;Detail3;offentligforbrug;privatforbrug;TOT Erhverv i alt;2 Industri, rastofindvinding og forsyningsvirksomhed;3 Bygge og anleg;4 Handel og transport mv.;5 Information og kommunikation;6 Finansiering og forsikring;7 Ejendomshandel og udlejning;8 Erhvervsservice;O3 Undervisning og sundhed mv.;10 Kultur, fritid og anden service
K2-2013;0,1;10,4;12,6;14,2;6;5,8;5,8;2635;2634;2635;440;442;424;-13;-14;-6;-2,8;-2,6;3,4;0,7;0,1;1,5;-0,2;0,2;-0,2;-0,17189;0,10941;0,20374;1,42;1,45;1,72;0,26;0,2403;0,2582;45285,5;44880,2;44200,2;51508,3;51459,4;50118,4;98,2;99,1;99,5;0,6796;-0,01328;1,3;1,7;0,5;1,1;2,1;1,9;1;1,1;0,5;0,9
K3-2013;0,6;11,8;12,4;13,9;5,7;5,7;5,6;2640;2647;2646;452;458;474;-11;-10;-2;3,7;5,9;4,7;-1,1;0,2;-1,4;-0,3;0,1;0,3;-0,42617;0,66026;0,51502;1,77;1,94;2,1;0,2684;0,2681;0,2711;46182,7;47563,7;46363,5;52082,6;51953,2;52730,6;98,8;98,7;98,6;0,62611;0,26113;1,1;1,8;0,4;0,7;1,9;1,5;0,9;1,1;1,3;0,3
K4-2013;0,2;17,5;11,2;11,3;5,6;5,6;5,6;2634;2635;2626;486;504;517;-2;0;-7;4,6;4;2,9;2,7;-2,7;0,3;0,2;-0,3;-0,1;-0,17514;0,29336;0,30388;1,93;1,8;1,89;0,273;0,2536;0,2585;44064,5;45766;47373,8;53868;51867,3;51704,7;97,5;97,9;98,5;1,07852;0,35238;1,2;1,5;0,8;0,8;1,7;1;0,6;1,5;1,2;0,6
K1-2014;0,3;15,4;13,6;11,8;5,2;5,2;5,1;2634;2629;2644;540;595;583;3;-2;4;6,3;4,2;5;1,4;0,5;-0,3;-0,2;0,6;0,1;-0,4157;0,84705;0,96263;1,86;1,67;1,61;0,28;0,27;0,29;45218,8;47015,9;43643,7;51545,9;53086,8;49564;98;99,2;98,9;-0,07035;0,01922;1,1;1,5;0,4;0,8;1,4;1,1;1,2;1,7;0,8;0,8
K2-2014;-0,1;12,5;14;12,6;5,1;5;5;2650;2656;2660;583;601;610;0;-7;-15;5,5;7,8;9,3;2,9;0,4;-0,5;0,1;0;-0,1;0,04609;0,36134;0,37414;1,57;1,47;1,38;0,31;0,35;0,36;47836,2;45940,2;47300,2;51809,7;52009,3;52163,4;98,4;100,2;98,5;-0,24938;0,84937;1,3;1,3;1,3;0,9;1,1;1,3;0,8;2,6;1;0,8
K3-2014;1,7;16,1;17,8;15,1;5;4,9;4,9;2670;2678;2689;605;608;623;-18;-6;-8;10,6;11,4;7,1;-1,3;1,7;0,4;-0,2;-0,1;0,3;0,19695;-0,11087;0,29877;1,24;1,07;0,96;0,38;0,37;0,28;48241,1;44344,7;47447,7;52839;51152,5;51749,1;98,6;99,4;98,2;1,42637;0,5392;1,4;1,2;1,9;1,3;0,9;1,6;2,3;2,7;0,4;0,7
K4-2014;0,4;15,6;16,9;18,6;4,9;4,8;4,8;2683;2699;2705;618;618;608;-15;-15;-19;8,2;6,3;6;-1,4;1,6;-1;0,1;-0,2;-0,3;0,0207;0,78206;-0,14522;1,13;1,03;0,93;0,3;0,3;0,3;47280,3;46445,6;45725,5;53474,2;51065,2;52150,5;98,9;99,4;99;0,16632;0,77413;1,5;1,1;1,5;1,3;1;1,8;2,3;2,5;0,8;1,3
K1-2015;0,7;14;17,9;19;4,7;4,7;4,7;2698;2698;2698;656;713;752;-15;-13;-16;9;9,1;13,9;1;2;1,9;-0,6;0,8;0,5;-0,49564;-0,50773;-0,28082;0,63;0,2;0,3;0,18;-0,33;-0,19;47674,9;46841,5;47860;52861,9;54216,4;55985;99,4;99,6;101,1;0,76504;0,04262;1,4;1,3;1,8;1;1,3;1,7;1,7;2,4;0,6;0,5
K2-2015;0,5;12,7;16,4;11,1;4,7;4,7;4,6;2707;2707;2710;755;768;737;-11;-6;-8;13,7;13;9,8;0,9;1;-0,8;0,2;0;-0,1;-0,58889;-0,43338;-0,34283;0,25;0,73;1;-0,19;-0,18;-0,2;47201,3;47890,1;50242,4;54989,5;54391,1;52576,7;99,6;98,1;99,6;-0,34646;0,99744;1,5;1,9;2,7;0,9;1,3;2,2;3,1;1,7;0,6;0,6
K3-2015;0,3;11,7;17;14,3;4,5;4,5;4,4;2711;2711;2716;781;740;721;-12;-6;-5;9,5;9,2;5;-0,2;0,7;-0,8;-0,1;-0,3;0,3;0,58515;-0,15548;-0,3699;0,94;0,84;0,93;-0,16;-0,07;-0,01;47590,8;47963,4;47450,5;51178,5;52545,2;52479;100,8;100,3;100;0,61393;1,32681;1,5;1,9;1,4;0,9;2;2,3;2,4;2;1,4;0,2
K4-2015;0,2;12,7;12,2;12,7;4,4;4,3;4,3;2710;2728;2748;730;791;786;-5;-7;-8;3;5,6;6,1;1;-0,4;-0,9;-0,1;-0,2;-0,1;-0,3654;-0,68764;-0,56989;0,83;0,81;0,83;-0,07;-0,14;-0,13;47765,5;46926,9;47171,9;51486,3;53170,8;51895,3;100,9;100,1;100,7;-0,25249;0,54083;1,5;1,9;1,8;1;1,8;2,3;2,3;1,7;1,6;0,1
K1-2016;1,2;14,1;13,4;12,8;4,2;4,2;4,2;2742;2734;2730;754;739;737;-6;-8;-5;4,6;4;3,6;1,4;0,8;0,9;-0,5;0,5;0,1;0,83358;-0,70906;-0,78945;0,79;0,55;0,51;-0,06;-0,08;-0,13;45952,5;46573,8;45971,2;51362;50488,9;53098,8;100,9;99,9;98,2;0,49892;0,28902;1,8;2,2;2,1;1,4;1,5;2,5;2,7;1,7;2,1;1,2
K2-2016;1,4;11;14;15;4,1;4,1;4,1;2754;2769;2769;743;777;743;-6;-8;-2;5,5;3,2;4,4;0,3;1,2;-0,8;0,2;0,2;0,1;0,09979;-0,0856;0,43863;0,4;0,41;0,23;-0,09;-0,09;-0,17;45432,5;46719,9;46047,1;53074;52086,4;51889,2;101,2;100,1;100,7;1,23701;0,92124;1,8;2,1;2;1,3;1,5;2,3;1,9;1,9;2,6;1,1
K3-2016;0,8;12,9;11;8,7;4,1;4;4,1;2764;2771;2767;775;751;724;-5;-6;-6;3,1;4,8;1,8;0,9;0,4;-0,6;-0,1;-0,4;0;0,25306;-0,08988;0,00686;0,07;0,04;0,01;-0,19;-0,21;-0,19;45355,9;46838;49432,4;54363,3;52293,2;52541,4;100,5;100,4;100;-0,11064;-0,50541;1,7;2,2;2,1;1,3;1,5;2,3;1,3;1,8;1,6;1,1
K4-2016;0,7;14,2;17,4;20,5;4,1;4,1;4,2;2775;2770;2771;708;679;723;-9;-8;-2;1,2;0,9;-0,3;0;0,2;-1,1;0,3;-0,2;0,1;0,19677;-0,19345;0,85977;0,13;0,32;0,39;-0,2;-0,18;-0,2;50745,9;48294,5;49096,1;53356;53811,5;55984;102,1;101,4;101,1;-1,32711;1,94311;1,8;2,4;2,2;1,4;1,7;2,4;1,5;1,4;1,6;1,8
K1-2017;0,5;16,1;13,3;17,2;4,2;4,2;4,2;2763;2767;2778;740;745;757;-4;-3;0;4,5;4,8;6,2;0,3;1;2,8;-0,1;0,7;0,1;0,10541;-0,37724;0,67717;0,37;0,33;0,19;-0,23;-0,23;-0,25;47914,8;48704,9;49721,6;54498,7;54725,8;56770,8;101,5;101,5;101,8;2,37823;1,01074;1,6;2,1;2,1;1,2;1,6;2,2;1,8;1;1,6;1,8
K2-2017;0,5;14,7;15,7;16;4,2;4,2;4,2;2780;2788;2796;795;816;813;1;-6;3;7,4;5,8;7,1;1;-1;1,2;0,3;-0,1;-0,2;0,89904;0,13503;0,16473;0,55;0,64;0,53;-0,26;-0,23;-0,23;50054,7;50983,2;49892,6;54177,1;55973,7;55110,8;101;100,7;100,6;0,19691;-0,14458;1,8;2;1,9;1,5;1,3;2,3;1,2;2;1,6;1,7
K3-2017;-0,9;10,7;15,6;8,9;4,3;4,3;4,2;2798;2798;2802;824;839;843;6;0;0;10,5;7,6;7,3;-0,8;0,9;0,8;1;-0,4;0,1;-0,04035;-0,47368;0,00259;0,67;0,55;0,51;-0,24;-0,27;-0,31;51890,7;51104;50373,2;54825,4;55550,8;56869,7;101,3;100,9;102,2;0,68791;-0,19515;1,9;2,4;2,5;1,4;1,8;2,3;1,9;1,9;1,8;1,7
K4-2017;1;13,8;10,2;13,5;4,2;4,1;4,1;2804;2805;2800;864;827;836;2;1;3;7,1;7,6;6,5;-0,8;-0,5;-1,3;0,1;-0,3;-0,4;1,51706;0,53423;0,323;0,53;0,44;0,41;-0,31;-0,31;-0,3;52179,3;51437,8;53083;57499;55004;57048,7;101,2;102,3;102,4;0,24595;2,50932;1,8;2;2,3;1,5;1,5;2,2;2,4;1,7;1,9;0,9
K1-2018;1,1;11,8;15,8;13,2;4;3,9;4;2807;2809;2821;837;834;812;-3;0;-2;8,2;8,5;8,5;2,5;1;0,3;-0,3;0,6;0;-0,2539;0,35421;0,57201;0,57;0,77;0,64;-0,31;-0,3;-0,3;54647,2;50567,6;52873,6;55285,4;57073,5;55326,5;101,8;101,3;101;0,88091;0,65745;2;2,1;2;1,9;1,8;2,4;2;2,1;1,8;0,9
K2-2018;0,5;1,2;14,1;10,3;3,9;3,9;3,8;2821;2833;2837;818;831;823;1;4;2;7,1;9,3;10,6;1,3;0,2;-0,2;0,6;0,2;-0,1;0,90479;-0,79318;0,75146;0,55;0,52;0,41;-0,29;-0,28;-0,3;61827;53159,5;53906,7;54601,4;55616,4;58878,7;102,2;103,6;103,3;0,31085;1,43217;2,3;2,5;2,8;2,2;1,9;2,2;3;2,1;1,6;0,9
K3-2018;0,5;15,6;10;16,4;3,8;3,8;3,8;2842;2844;2850;868;868;837;3;5;-1;9,7;7,8;6,9;-0,5;0,7;-0,3;0,8;-0,5;-0,2;0,44494;0,80311;0,13723;0,32;0,33;0,37;-0,3;-0,3;-0,3;51729,5;53219;51377,3;58863,1;56103,1;58007,2;101,8;102,8;103,5;0,52203;-0,21178;2,2;2,4;2,5;2,1;2,1;2,5;2,6;2,1;1,9;1,2
K4-2018;0,9;16,4;15,3;17,2;3,8;3,7;3,7;2850;2845;2851;771;780;752;-2;-1;-7;5,1;4,3;2,9;0,4;-1,9;0,7;0,3;-0,3;-0,4;0,22029;0,53695;0,04063;0,42;0,34;0,23;-0,31;-0,3;-0,29;53961,6;52994,2;52230,8;59723,2;59820,3;58111,8;102,4;103,9;102,7;0,51728;0,48825;2,2;2,4;2,4;1,9;2,5;2,5;2,2;2,1;2,3;1,4
K1-2019;0;11,4;12,5;8;3,7;3,7;3,7;2851;2852;2855;783;824;843;-5;-6;-4;3,9;3,3;3,8;0,1;2,2;-0,5;0,2;0,5;0,1;-0,39176;-0,50437;0,1077;0,15;0,05;0,16;-0,3;-0,32;-0,32;54787,1;53712;53095,4;61671,5;59565,1;56739,4;102,6;103,2;104,3;0,00864;1,21809;2;2,2;2,2;1,6;2,5;2,2;2,2;1,9;2;1
K2-2019;1,2;17,6;16,7;14,8;3,6;3,6;3,7;2865;2875;2882;854;824;846;-3;-2;-6;3,7;5,9;5,8;1,5;0,5;-0,1;0,3;0;-0,3;-0,63119;0,218;0,04669;0,08;0,04;-0,22;-0,37;-0,34;-0,36;53055,5;54364,3;54694;60392,3;62348,8;61292,8;103,4;103,3;103,4;0,77106;0,55384;2;2,2;1,5;1,5;2,5;2,5;2,7;1,8;2,7;2,3
K3-2019;0,5;17,6;16,8;14;3,7;3,7;3,7;2886;2892;2894;845;858;864;-7;-6;-8;2,9;6,3;4,3;0,6;-0,4;0,4;0,7;-0,4;-0,3;-0,17588;0,70505;-0,34755;-0,31;-0,58;-0,59;-0,39;-0,43;-0,45;54323;55371,7;54512;61652;63531,1;60857,4;103,8;104;103,7;0,47727;0,57424;2,1;2,7;1,8;1,6;2,4;2,1;2,3;2;2;2,1
K4-2019;0,6;21,2;12,3;14,8;3,7;3,7;3,7;2895;2894;2887;867;917;946;-12;-7;-7;1,7;1,4;2,5;-0,7;0;-0,8;0,5;-0,3;-0,2;-0,40695;0,94059;-0,39745;-0,43;-0,31;-0,26;-0,43;-0,41;-0,4;55205,8;53321,6;53221,5;62510,8;63249,1;61172,9;103,9;104,4;103,5;1,93457;2,01574;2;2,8;1,5;1,8;1,9;1,5;2,2;1,9;1,9;1,8
K1-2020;0;18,4;16,4;0;3,7;3,7;4,1;2882;2874;0;969;915;0;-10;-4;-7;4,5;3,3;0,4;0,8;0,9;0;0,2;0,4;-0,3;-0,48543;0,45736;-5,40089;-0,26;-0,41;0;-0,41;-0,41;-0,37;55006,2;53019,4;0;63268,2;61233,5;0;104,4;104,9;102,3;0;0;0;0;0;0;0;0;0;0;0;0
